mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,0,00:00,2025-12-31 00:00:00,4379166.0,27,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,1,01:00,2025-12-31 01:00:00,3184444.0,32,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,2,02:00,2025-12-31 02:00:00,2900000.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,3,03:00,2025-12-31 03:00:00,1564044.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,4,04:00,2025-12-31 04:00:00,1234999.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,5,05:00,2025-12-31 05:00:00,1559999.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,6,06:00,2025-12-31 06:00:00,3312500.0,12,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,7,07:00,2025-12-31 07:00:00,4268749.0,17,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,8,08:00,2025-12-31 08:00:00,6738095.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,9,09:00,2025-12-31 09:00:00,7531249.0,17,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,10,10:00,2025-12-31 10:00:00,11152173.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,11,11:00,2025-12-31 11:00:00,13222222.0,11,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,12,12:00,2025-12-31 12:00:00,14055555.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,13,13:00,2025-12-31 13:00:00,13874999.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-31,수,14,14:00,2025-12-31 14:00:00,14666666.0,15,HOURLY
